name,mana_cost,card_type,power,card_text,artist,collection,lowPrice,highPrice,front_image,back_image
Open the Vaults,{4}{W}{W},Sorcery,-,Return all artifact and enchantment cards from all graveyards to the battlefield under their owners' control. (Auras with nothing to enchant remain in graveyards.),Brian Despain,Double Masters,2.24,2.24,https://c1.scryfall.com/file/scryfall-cards/png/front/e/5/e5c5a822-0f5e-4b5f-b969-b27324e4543f.png?1599708828,-
Path to Exile,{W},Instant,-,"Exile target creature. Its controller may search their library for a basic land card, put that card onto the battlefield tapped, then shuffle.",Todd Lockwood,Double Masters,4.19,4.19,https://c1.scryfall.com/file/scryfall-cards/png/front/e/9/e9d36855-c38a-4bba-a642-cff3f81e057e.png?1599709071,-
Puresteel Paladin,{W}{W},Creature — Human Knight,2/2,"Whenever an Equipment enters the battlefield under your control, you may draw a card. Metalcraft — Equipment you control have equip {0} as long as you control three or more artifacts.",Jason Chan,Double Masters,5.6,5.6,https://c1.scryfall.com/file/scryfall-cards/png/front/8/a/8abcc2e6-82e7-4cc5-8956-05dd617e3e7d.png?1599709277,-
Remember the Fallen,{2}{W},Sorcery,-,Choose one or both —,Return target artifact card from your graveyard to your hand.,Double Masters,0.04,0.04,https://c1.scryfall.com/file/scryfall-cards/png/front/2/8/287ca034-9cea-4b84-98ba-76c24f038edb.png?1599709496,-
Revoke Existence,{1}{W},Sorcery,-,Exile target artifact or enchantment.,Adam Paquette,Double Masters,0.04,0.04,https://c1.scryfall.com/file/scryfall-cards/png/front/7/b/7bd4fc26-8351-4371-948b-f43346c3e771.png?1599709680,-
Sanctum Gargoyle,{3}{W},Artifact Creature — Gargoyle,2/3,"Flying When Sanctum Gargoyle enters the battlefield, you may return target artifact card from your graveyard to your hand.",Shelly Wan,Double Masters,0.02,0.02,https://c1.scryfall.com/file/scryfall-cards/png/front/b/c/bc0714cb-21e5-4922-b971-ebcb9e3c9196.png?1599709911,-
Sanctum Spirit,{3}{W},Creature — Spirit,3/2,"Lifelink Discard a historic card: Sanctum Spirit gains indestructible until end of turn. (Artifacts, legendaries, and Sagas are historic.)",Nils Hamm,Double Masters,0.01,0.01,https://c1.scryfall.com/file/scryfall-cards/png/front/8/6/86322472-52e5-4af4-8a41-1ccc3ff6fd92.png?1599710121,-
Stoneforge Mystic,{1}{W},Creature — Kor Artificer,1/2,"When Stoneforge Mystic enters the battlefield, you may search your library for an Equipment card, reveal it, put it into your hand, then shuffle. {1}{W}, {T}: You may put an Equipment card from your hand onto the battlefield.",Mike Bierek,Double Masters,46.23,46.23,https://c1.scryfall.com/file/scryfall-cards/png/front/4/d/4d3473d0-b46f-41f5-ac1e-ba217f7747d4.png?1599710314,-
Stonehewer Giant,{3}{W}{W},Creature — Giant Warrior,4/4,"Vigilance {1}{W}, {T}: Search your library for an Equipment card, put it onto the battlefield, attach it to a creature you control, then shuffle.",Steve Prescott,Double Masters,3.61,3.61,https://c1.scryfall.com/file/scryfall-cards/png/front/0/e/0efda05d-01ea-4478-b075-00a31d7037f8.png?1599710515,-
Strength of Arms,{W},Instant,-,"Target creature gets +2/+2 until end of turn. If you control an Equipment, create a 1/1 white Human Soldier creature token.",John Stanko,Double Masters,0.02,0.02,https://c1.scryfall.com/file/scryfall-cards/png/front/6/8/6843952d-e633-4992-99d5-4ef8b87494c8.png?1599710714,-
Tempered Steel,{1}{W}{W},Enchantment,-,Artifact creatures you control get +2/+2.,Wayne Reynolds,Double Masters,1.49,1.49,https://c1.scryfall.com/file/scryfall-cards/png/front/9/5/956cc7b5-b120-4a98-9509-03047d8acd4a.png?1599710913,-
Thraben Inspector,{W},Creature — Human Soldier,1/2,"When Thraben Inspector enters the battlefield, investigate. (Create a colorless Clue artifact token with ""{2}, Sacrifice this artifact: Draw a card."")",Matt Stewart,Double Masters,0.2,0.2,https://c1.scryfall.com/file/scryfall-cards/png/front/2/b/2be39749-ad6f-4160-99eb-c677eee7f1b2.png?1599711120,-
Topple the Statue,{2}{W},Instant,-,"Tap target permanent. If it's an artifact, destroy it. Draw a card.",Sidharth Chaturvedi,Double Masters,0.06,0.06,https://c1.scryfall.com/file/scryfall-cards/png/front/a/b/ab74e12a-ad7c-4563-aa06-632654bac91d.png?1599711323,-
Valor in Akros,{3}{W},Enchantment,-,"Whenever a creature enters the battlefield under your control, creatures you control get +1/+1 until end of turn.",Chris Rallis,Double Masters,0.1,0.1,https://c1.scryfall.com/file/scryfall-cards/png/front/7/e/7e7428ad-4bd4-401d-a45c-3900bb05a3f7.png?1598303659,-
Valorous Stance,{1}{W},Instant,-,Choose one —,Destroy target creature with toughness 4 or greater.,Double Masters,0.15,0.15,https://c1.scryfall.com/file/scryfall-cards/png/front/8/c/8c72729e-d2fa-4bbb-8524-8c88acb30850.png?1598303670,-
Wrath of God,{2}{W}{W},Sorcery,-,Destroy all creatures. They can't be regenerated.,Kev Walker,Double Masters,4.9,4.9,https://c1.scryfall.com/file/scryfall-cards/png/front/6/6/664e6656-36a3-4635-9f33-9f8901afd397.png?1598303688,-
Apprentice Wizard,{1}{U}{U},Creature — Human Wizard,0/1,"{U}, {T}: Add {C}{C}{C}.",Richard Kane Ferguson,Double Masters,0.13,0.13,https://c1.scryfall.com/file/scryfall-cards/png/front/e/1/e13026a8-7e3c-45b2-9838-080f14ae4b29.png?1598303712,-
Arcum Dagsson,{3}{U},Legendary Creature — Human Artificer,2/2,"{T}: Target artifact creature's controller sacrifices it. That player may search their library for a noncreature artifact card, put it onto the battlefield, then shuffle.",Pete Venters,Double Masters,4.07,4.07,https://c1.scryfall.com/file/scryfall-cards/png/front/f/5/f5ecf811-2efc-4fa6-9af8-ef09f559ec1a.png?1598303734,-
Argivian Restoration,{2}{U}{U},Sorcery,-,Return target artifact card from your graveyard to the battlefield.,Roger Raupp,Double Masters,0.06,0.06,https://c1.scryfall.com/file/scryfall-cards/png/front/3/f/3f14b3a6-5490-4a50-9449-542e23f1d6b1.png?1598303751,-
"Braids, Conjurer Adept",{2}{U}{U},Legendary Creature — Human Wizard,2/2,"At the beginning of each player's upkeep, that player may put an artifact, creature, or land card from their hand onto the battlefield.",Zoltan Boros & Gabor Szikszai,Double Masters,1.06,1.06,https://c1.scryfall.com/file/scryfall-cards/png/front/5/9/593dfb2f-ede0-413a-b037-46ae5c3769e4.png?1598303769,-
Brainstorm,{U},Instant,-,"Draw three cards, then put two cards from your hand on top of your library in any order.",Willian Murai,Double Masters,0.47,0.47,https://c1.scryfall.com/file/scryfall-cards/png/front/b/a/baeb0421-b7af-44cd-a7f6-7daaa3dcaa38.png?1598303782,-
Cloudreader Sphinx,{4}{U},Creature — Sphinx,3/4,"Flying When Cloudreader Sphinx enters the battlefield, scry 2. (Look at the top two cards of your library, then put any number of them on the bottom of your library and the rest on top in any order.)",Kev Walker,Double Masters,0.02,0.02,https://c1.scryfall.com/file/scryfall-cards/png/front/2/a/2afaeec0-9ea3-4aec-9876-8e005e787d71.png?1598303802,-
Corridor Monitor,{1}{U},Artifact Creature — Construct,1/4,"When Corridor Monitor enters the battlefield, untap target artifact or creature you control.",Jason Felix,Double Masters,0.02,0.02,https://c1.scryfall.com/file/scryfall-cards/png/front/d/f/df3f6598-18a7-472d-8d05-715203379089.png?1598303816,-
Cyclonic Rift,{1}{U},Instant,-,"Return target nonland permanent you don't control to its owner's hand. Overload {6}{U} (You may cast this spell for its overload cost. If you do, change its text by replacing all instances of ""target"" with ""each."")",Chris Rahn,Double Masters,28.1,28.1,https://c1.scryfall.com/file/scryfall-cards/png/front/f/f/ff08e5ed-f47b-4d8e-8b8b-41675dccef8b.png?1598303834,-
Deepglow Skate,{4}{U},Creature — Fish,3/3,"When Deepglow Skate enters the battlefield, double the number of each kind of counter on any number of target permanents.",Jason Kang,Double Masters,2.66,2.66,https://c1.scryfall.com/file/scryfall-cards/png/front/4/a/4a8b26dc-de39-4510-9fcf-6cb43372f543.png?1598303851,-
Esperzoa,{2}{U},Artifact Creature — Jellyfish,4/3,"Flying At the beginning of your upkeep, return an artifact you control to its owner's hand.",Warren Mahy,Double Masters,0.06,0.06,https://c1.scryfall.com/file/scryfall-cards/png/front/7/2/7269b26a-058c-4a5c-aadf-733ea60f3de0.png?1598303863,-
Faerie Mechanist,{3}{U},Artifact Creature — Faerie Artificer,2/2,"Flying When Faerie Mechanist enters the battlefield, look at the top three cards of your library. You may reveal an artifact card from among them and put it into your hand. Put the rest on the bottom of your library in any order.",Matt Cavotta,Double Masters,0.02,0.02,https://c1.scryfall.com/file/scryfall-cards/png/front/e/3/e3b14d57-a856-49d4-931f-ff5a0407b135.png?1598303878,-
Force of Will,{3}{U}{U},Instant,-,You may pay 1 life and exile a blue card from your hand rather than pay this spell's mana cost. Counter target spell.,Terese Nielsen,Double Masters,107.08,107.08,https://c1.scryfall.com/file/scryfall-cards/png/front/d/d/dd60b291-0a88-4e8e-bef8-76cdfd6c8183.png?1598303900,-
Frogify,{1}{U},Enchantment — Aura,-,Enchant creature Enchanted creature loses all abilities and is a blue Frog creature with base power and toughness 1/1. (It loses all other card types and creature types.),Chris Seaman,Double Masters,0.11,0.11,https://c1.scryfall.com/file/scryfall-cards/png/front/d/8/d89be5f5-75d4-42a0-81e9-5da5bf868e73.png?1598303930,-
Grand Architect,{1}{U}{U},Creature — Vedalken Artificer,1/3,Other blue creatures you control get +1/+1. {U}: Target artifact creature becomes blue until end of turn. Tap an untapped blue creature you control: Add {C}{C}. Spend this mana only to cast artifact spells or activate abilities of artifacts.,Steven Belledin,Double Masters,0.86,0.86,https://c1.scryfall.com/file/scryfall-cards/png/front/1/4/14ce909d-a53e-4711-a9fd-b110433d460f.png?1598303952,-
Hinder,{1}{U}{U},Instant,-,"Counter target spell. If that spell is countered this way, put that card on the top or bottom of its owner's library instead of into that player's graveyard.",Wayne Reynolds,Double Masters,0.22,0.22,https://c1.scryfall.com/file/scryfall-cards/png/front/6/e/6ebaedfd-3f65-4867-bb59-df548a6eb113.png?1598303981,-
Inkwell Leviathan,{7}{U}{U},Artifact Creature — Leviathan,7/11,Trample Islandwalk (This creature can't be blocked as long as defending player controls an Island.) Shroud (This creature can't be the target of spells or abilities.),Anthony Francisco,Double Masters,0.41,0.41,https://c1.scryfall.com/file/scryfall-cards/png/front/9/f/9f7a6dfb-a8f8-4899-b2db-c48d542dfd55.png?1598304010,-
"Jace, the Mind Sculptor",{2}{U}{U},Legendary Planeswalker — Jace,3,"+2: Look at the top card of target player's library. You may put that card on the bottom of that player's library. 0: Draw three cards, then put two cards from your hand on top of your library in any order. −1: Return target creature to its owner's hand. −12: Exile all cards from target player's library, then that player shuffles their hand into their library.",Jason Chan,Double Masters,55.04,55.04,https://c1.scryfall.com/file/scryfall-cards/png/front/c/8/c8817585-0d32-4d56-9142-0d29512e86a9.png?1598304029,-
Master of Etherium,{2}{U},Artifact Creature — Vedalken Wizard,*/*,Master of Etherium's power and toughness are each equal to the number of artifacts you control. Other artifact creatures you control get +1/+1.,Matt Cavotta,Double Masters,0.98,0.98,https://c1.scryfall.com/file/scryfall-cards/png/front/2/c/2c860286-9807-4ab5-b66f-e8696e9e6ac9.png?1598304058,-
Master Transmuter,{3}{U},Artifact Creature — Human Artificer,1/2,"{U}, {T}, Return an artifact you control to its owner's hand: You may put an artifact card from your hand onto the battlefield.",Chippy,Double Masters,2.14,2.14,https://c1.scryfall.com/file/scryfall-cards/png/front/4/8/480eb74f-9e62-41f7-b48a-b4249aab5752.png?1598304081,-
Metallic Rebuke,{2}{U},Instant,-,Improvise (Your artifacts can help cast this spell. Each artifact you tap after you're done activating mana abilities pays for {1}.) Counter target spell unless its controller pays {3}.,Eric Deschamps,Double Masters,0.16,0.16,https://c1.scryfall.com/file/scryfall-cards/png/front/3/4/34785944-7b51-48a9-855c-3e656cd78251.png?1598304101,-
Parasitic Strix,{2}{U},Artifact Creature — Bird,2/2,"Flying When Parasitic Strix enters the battlefield, if you control a black permanent, target player loses 2 life and you gain 2 life.",Steven Belledin,Double Masters,0.03,0.03,https://c1.scryfall.com/file/scryfall-cards/png/front/7/0/70017989-aaf1-4a70-98aa-e447d6ce793a.png?1598304123,-
Phyrexian Metamorph,{3}{U/P},Artifact Creature — Phyrexian Shapeshifter,0/0,"({U/P} can be paid with either {U} or 2 life.) You may have Phyrexian Metamorph enter the battlefield as a copy of any artifact or creature on the battlefield, except it's an artifact in addition to its other types.",Jana Schirmer & Johannes Voss,Double Masters,4.98,4.98,https://c1.scryfall.com/file/scryfall-cards/png/front/d/6/d6afeb07-ed44-4e15-99b6-436f8365326f.png?1598304141,-
Pongify,{U},Instant,-,Destroy target creature. It can't be regenerated. Its controller creates a 3/3 green Ape creature token.,Heather Hudson,Double Masters,2.2,2.2,https://c1.scryfall.com/file/scryfall-cards/png/front/4/0/40b7a6db-e0a3-45f7-9ef7-e4fd5490adb7.png?1598304164,-
Relic Runner,{1}{U},Creature — Human Rogue,2/1,"Relic Runner can't be blocked if you've cast a historic spell this turn. (Artifacts, legendaries, and Sagas are historic.)",Josu Hernaiz,Double Masters,0.02,0.02,https://c1.scryfall.com/file/scryfall-cards/png/front/f/b/fbced19d-7035-4284-93b3-cf2d4bcf9734.png?1598304179,-
Reshape,{X}{U}{U},Sorcery,-,"As an additional cost to cast this spell, sacrifice an artifact. Search your library for an artifact card with mana value X or less, put it onto the battlefield, then shuffle.",Jon Foster,Double Masters,2.25,2.25,https://c1.scryfall.com/file/scryfall-cards/png/front/8/f/8f8a8f14-bced-4388-b263-5e70431b191f.png?1598304756,-
Riddlesmith,{1}{U},Creature — Human Artificer,2/1,"Whenever you cast an artifact spell, you may draw a card. If you do, discard a card.",Eric Deschamps,Double Masters,0.2,0.2,https://c1.scryfall.com/file/scryfall-cards/png/front/f/b/fb1aab84-5e71-496f-8c46-ecd31fb97d27.png?1598304226,-
Rush of Knowledge,{4}{U},Sorcery,-,Draw cards equal to the highest mana value among permanents you control.,Eric Peterson,Double Masters,0.18,0.18,https://c1.scryfall.com/file/scryfall-cards/png/front/c/c/ccca07a9-5c24-490f-8871-b125cb337e2c.png?1598304240,-
Sentinel of the Pearl Trident,{4}{U},Creature — Merfolk Soldier,3/3,"Flash When Sentinel of the Pearl Trident enters the battlefield, you may exile target historic permanent you control. If you do, return that card to the battlefield under its owner's control at the beginning of the next end step. (Artifacts, legendaries, and Sagas are historic.)",Jonas De Ro,Double Masters,0.04,0.04,https://c1.scryfall.com/file/scryfall-cards/png/front/a/1/a19284d8-4404-4032-8dee-3c7af2819045.png?1598304261,-
Serra Sphinx,{3}{U}{U},Creature — Sphinx,4/4,"Flying, vigilance",Daren Bader,Double Masters,0.09,0.09,https://c1.scryfall.com/file/scryfall-cards/png/front/4/f/4fb01cf8-9bca-4446-9e56-62777c6dfbe8.png?1598304287,-
Sift,{3}{U},Sorcery,-,"Draw three cards, then discard a card.",Jeremy Jarvis,Double Masters,0.03,0.03,https://c1.scryfall.com/file/scryfall-cards/png/front/4/f/4f9fb948-86fb-497b-98bf-1f69eac9901e.png?1598304307,-
Steel Sabotage,{U},Instant,-,Choose one —,Return target artifact to its owner's hand.,Double Masters,0.03,0.03,https://c1.scryfall.com/file/scryfall-cards/png/front/c/2/c227437d-1fc7-4a00-ace5-80795adc51d3.png?1598304335,-
Thirst for Knowledge,{2}{U},Instant,-,Draw three cards. Then discard two cards unless you discard an artifact card.,Ben Thompson,Double Masters,0.12,0.12,https://c1.scryfall.com/file/scryfall-cards/png/front/4/6/46afb6e7-b2d9-436e-9532-0d09099de158.png?1598304352,-
Thought Reflection,{4}{U}{U}{U},Enchantment,-,"If you would draw a card, draw two cards instead.",Chris Seaman,Double Masters,0.75,0.75,https://c1.scryfall.com/file/scryfall-cards/png/front/e/1/e169e197-5ef4-454d-a31f-fcadedb74cfc.png?1598304368,-
Treasure Mage,{2}{U},Creature — Human Wizard,2/2,"When Treasure Mage enters the battlefield, you may search your library for an artifact card with mana value 6 or greater, reveal it, put it into your hand, then shuffle.",Ryan Pancoast,Double Masters,0.12,0.12,https://c1.scryfall.com/file/scryfall-cards/png/front/c/0/c0ea2fcd-f090-4545-a055-30d7980ad66f.png?1598304392,-
Vedalken Infuser,{3}{U},Creature — Vedalken Wizard,1/4,"At the beginning of your upkeep, you may put a charge counter on target artifact.",Ryan Pancoast,Double Masters,0.02,0.02,https://c1.scryfall.com/file/scryfall-cards/png/front/a/5/a52b9d11-0aab-4300-90b6-c8b56de36ec3.png?1598304409,-
Well of Ideas,{5}{U},Enchantment,-,"When Well of Ideas enters the battlefield, draw two cards. At the beginning of each other player's draw step, that player draws an additional card. At the beginning of your draw step, draw two additional cards.",Steve Prescott,Double Masters,0.83,0.83,https://c1.scryfall.com/file/scryfall-cards/png/front/e/7/e7796b82-5a7c-406e-be71-1f37abdbc44f.png?1598304433,-
Ad Nauseam,{3}{B}{B},Instant,-,Reveal the top card of your library and put that card into your hand. You lose life equal to its mana value. You may repeat this process any number of times.,Jeremy Jarvis,Double Masters,8.71,8.71,https://c1.scryfall.com/file/scryfall-cards/png/front/a/9/a9f2c53e-ff58-4aa8-89a6-4f45628cc571.png?1598306470,-
Beacon of Unrest,{3}{B}{B},Sorcery,-,Put target artifact or creature card from a graveyard onto the battlefield under your control. Shuffle Beacon of Unrest into its owner's library.,Joseph Meehan,Double Masters,0.25,0.25,https://c1.scryfall.com/file/scryfall-cards/png/front/0/6/06bd199b-1855-4208-8bf7-8930e91ab139.png?1598304450,-
Bone Picker,{3}{B},Creature — Bird,3/2,"This spell costs {3} less to cast if a creature died this turn. Flying, deathtouch",Yeong-Hao Han,Double Masters,0.16,0.16,https://c1.scryfall.com/file/scryfall-cards/png/front/f/7/f7de3d27-f3e0-4aea-a737-6577de1bd1c5.png?1598304462,-
Cast Down,{1}{B},Instant,-,Destroy target nonlegendary creature.,Bastien L. Deharme,Double Masters,0.3,0.3,https://c1.scryfall.com/file/scryfall-cards/png/front/4/8/480fecdd-5978-47e6-9c25-7a04cdf616db.png?1598304476,-
Costly Plunder,{1}{B},Instant,-,"As an additional cost to cast this spell, sacrifice an artifact or creature. Draw two cards.",Ben Maier,Double Masters,0.17,0.17,https://c1.scryfall.com/file/scryfall-cards/png/front/5/9/598405fd-02d2-4bf8-b241-7a2ae6338913.png?1598304489,-
Dark Confidant,{1}{B},Creature — Human Wizard,2/1,"At the beginning of your upkeep, reveal the top card of your library and put that card into your hand. You lose life equal to its mana value.",Scott M. Fischer,Double Masters,30.05,30.05,https://c1.scryfall.com/file/scryfall-cards/png/front/b/0/b0d88239-43dc-46b8-8d46-626e2f8f1070.png?1598304507,-
Death's Shadow,{B},Creature — Avatar,13/13,"Death's Shadow gets -X/-X, where X is your life total.",Howard Lyon,Double Masters,4.76,4.76,https://c1.scryfall.com/file/scryfall-cards/png/front/5/5/5526ff6e-c079-4ad4-ac8d-5e26ecacf50d.png?1598304517,-
Defiant Salvager,{2}{B},Creature — Aetherborn Artificer,2/2,Sacrifice an artifact or creature: Put a +1/+1 counter on Defiant Salvager. Activate only as a sorcery.,Volkan Baǵa,Double Masters,0.03,0.03,https://c1.scryfall.com/file/scryfall-cards/png/front/2/f/2f113f11-9b87-4219-a106-9f6595d85b81.png?1598304537,-
Dire Fleet Hoarder,{1}{B},Creature — Human Pirate,2/1,"When Dire Fleet Hoarder dies, create a Treasure token. (It's an artifact with ""{T}, Sacrifice this artifact: Add one mana of any color."")",Deruchenko Alexander,Double Masters,0.05,0.05,https://c1.scryfall.com/file/scryfall-cards/png/front/d/6/d6f86b94-2a86-4120-97cd-ec2c89d106cb.png?1598306532,-
Disciple of Bolas,{3}{B},Creature — Human Wizard,2/1,"When Disciple of Bolas enters the battlefield, sacrifice another creature. You gain X life and draw X cards, where X is that creature's power.",Slawomir Maniak,Double Masters,0.31,0.31,https://c1.scryfall.com/file/scryfall-cards/png/front/8/b/8b70c101-d8b0-4acb-ad65-59bf9860708a.png?1598304590,-
Disciple of the Vault,{B},Creature — Human Cleric,1/1,"Whenever an artifact is put into a graveyard from the battlefield, you may have target opponent lose 1 life.",Matt Thompson,Double Masters,0.48,0.48,https://c1.scryfall.com/file/scryfall-cards/png/front/4/c/4c539843-4e3f-47a7-92e1-412eaaa2d9c5.png?1598304605,-
